id;email_id;name;emp_id;exp_years
1;"y@eCIL6.ATNn";"FC0l";Fresh Maine Cambridgeshire;98657
2;"m@EIwu6K.tgg";"mJdO2e";synergies Hat Liechtenstein;43673
3;"aX2xx@YKkgBq.mTl";"F";leading-edge JBOD Money;24420
4;"8a1JG.@cq.RxTT";"6pw";sexy withdrawal Shoes;61538
5;"j5t@Dm.JBn";"brBVCJ";EXE Harbors;2949
6;"nm4WA@ERw.liB";"V0 GQ";Mouse;79801
7;"Ipg8@DPVb.Zd";"Ph";navigate generation indexing;16025
8;"oUyt@9kOeHy.Nl";"QgI";Account parsing AI;40476
9;"k-H@0AsX.jym";"5Auu";deposit Secured;38762
10;"kh@Qc2N.lRm";"c5ushL";Intelligent Steel deposit;24231
